Facebook page : ,  Sportskeeda,
,,
duration :,  27-12-2015 to 14-01-2015,
,,
Saransh Gehlot,,
,,
Number of Links ,- ,38
Number of Likes on links, - ,59311
,,
Number of Non links ,- ,24
Number of likes in Non Links ,-,53115
,,
Vignesh Madridista Ananthasubramanian,,
,,
Number of Links ,- ,33
Number of Likes on links ,-,58212
,,
Number of Non links ,- ,22
Number of likes in Non Links ,-,114356
,,
Khushwant Ramesh,,
,,
Number of Links ,- ,69
Number of Likes on links ,-,64531
,,
Number of Non links ,-,24
Number of likes in Non Links ,- ,90855
,,
Foma Ramteke,,
,,
Number of Links ,- ,68
Number of Likes on links , -,178176
,,
Number of Non links ,-,22
Number of likes in Non Links ,- ,120372
,,
Anuradha Santhanam,,
,,
Number of Links ,- ,2
Number of Likes on links , - ,1531
,,
Number of Non links ,- ,3
Number of likes in Non Links ,- ,7268
,,
Shankar Narayan V,,
,,
Number of Links ,-,7
Number of Likes on links , -,1903
,,
Number of Non links ,-,6
Number of likes in Non Links ,-,32150
,,
Nitin Fernandes,,
,,
Number of Links ,-,51
Number of Likes on links ,-,131221
,,
Number of Non links ,-,19
Number of likes in Non Links ,-,120664
,,
Rohith Nair,,
,,
Number of Links ,-,2
Number of Likes on links ,-,6131
,,
Number of Non links ,-,1
Number of likes in Non Links ,-,1275
,,
Siddarth Sharma,,
,,
Number of Links ,-,0
Number of Likes on links ,-,  {null}
,,
Number of Non links ,- ,1
Number of likes in Non Links ,- ,2273
,,
Shubham Mazumdar,,
,,
Number of Links ,- ,56
Number of Likes on links ,- ,99795
,,
Number of Non links ,- ,39
Number of likes in Non Links ,- ,254772
,,
Absolute Sports PVt. Ltd,,
,,
Number of Links ,- ,1
Number of Likes on links ,- ,6446
,,
Number of Non links ,- ,2
Number of likes in Non Links ,- ,168
,,
Sri Hari,,
,,
Number of Links ,- ,0
Number of Likes on links ,- ,  {null} 
,,
Number of Non links ,- ,1
Number of likes in Non Links ,- ,1275
 ,,
,,
Vinay Sundar,,
,,
Number of Links ,- ,1
Number of Likes on links ,- ,1678
,,
Number of Non links,- ,0
Number of likes in Non Links,- , {null} 
,,
Akash Iyer,,
,,
Number of Links,- ,0
Number of Likes on links ,- ,{null} 
,,
Number of Non links,- ,1
Number of likes in Non Links ,- ,455
,,
Pritam Sharma,,
,,
Number of Links,- ,2
Number of Likes on links ,- ,3459
,,
Number of Non links,- ,0
Number of likes in Non Links ,- ,{null} 
,,
Ratish Menon,,
,,
Number of Links ,- ,4
Number of Likes on links,- ,6180
,,
Number of Non links,- ,0
Number of likes in Non Links ,- ,{null} 
,,
Dipankar Lahiri,,
,,
Number of Links,- ,0
Number of Likes on links ,- ,{null} 
,,
Number of Non links ,- ,1
Number of likes in Non Links,- ,1275
 ,,
